School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
De Smet Jesuit,2.7,3.69,6.39,5,1,1
St. Dominic,2.63,3.61,6.24,6,2,2
Lee's Summit,2.96,3.18,6.14,2,4,3
Ft. Zumwalt South,3.23,2.73,5.96,1,11,4
Lee's Summit West,2.7,3.12,5.82,4,5,5
John Burroughs,2.83,2.68,5.52,3,12,6
Francis Howell,2.37,2.9,5.27,10,8,7
Rockhurst,1.93,3.31,5.24,16,3,8
Kirkwood,2.26,2.66,4.92,13,13,9
Chaminade College Prep,1.65,3.05,4.7,26,6,10
Rockwood Summit,1.69,2.98,4.67,25,7,11
Lindbergh,2.44,2.15,4.59,9,27,12
Jefferson City,2.28,2.27,4.56,12,22,13
Francis Howell Central,2.59,1.95,4.54,7,34,14
Liberty,1.86,2.61,4.47,18,15,15
Marquette,1.56,2.87,4.44,28,9,16
Notre Dame (Cape Girardeau),2.47,1.95,4.43,8,33,17
SLUH,1.54,2.83,4.37,33,10,18
Park Hill South,1.56,2.62,4.18,31,14,19
Liberty (Wentzville),1.55,2.52,4.08,32,17,20
Lee's Summit North,2.37,1.65,4.02,11,45,21
MICDS,1.69,2.33,4.02,23,20,22
Ladue Horton Watkins,1.42,2.58,4.0,37,16,23
Priory,1.77,2.23,4.0,19,24,24
Van Horn,1.56,2.36,3.92,29,19,25
Ft. Zumwalt West,1.71,2.17,3.89,22,26,26
Eureka,1.91,1.95,3.86,17,35,27
Jackson,1.53,2.27,3.8,34,23,28
Blue Springs South,2.02,1.75,3.76,15,42,29
Blue Springs,1.36,2.38,3.73,41,18,30
Park Hill,1.4,2.32,3.71,39,21,31
Pembroke Hill,1.56,2.09,3.65,30,29,32
Guadalupe Centers Charter,1.69,1.96,3.65,24,32,33
Vianney,1.71,1.8,3.52,21,39,34
St. Michael the Archangel,1.45,1.99,3.44,36,31,35
Lafayette (Wildwood),1.35,2.01,3.36,43,30,36
Christian Brothers College,1.13,2.19,3.32,51,25,37
Timberland,1.34,1.86,3.2,44,37,38
Raymore-Peculiar,1.05,2.1,3.15,57,28,39
Parkway South,1.77,1.32,3.09,20,54,40
Holt,1.2,1.83,3.03,49,38,41
Mehlville,1.51,1.42,2.93,35,51,42
Oak Park,2.02,0.9,2.92,14,64,43
Westminster Christian Academy,1.09,1.75,2.84,54,41,44
Liberty North,1.1,1.66,2.76,52,44,45
Orchard Farm,1.15,1.6,2.75,50,46,46
Clayton,1.24,1.5,2.74,45,49,47
Webster Groves,1.23,1.48,2.71,46,50,48
Raytown South,1.61,0.99,2.6,27,59,49
Rock Bridge,1.07,1.33,2.4,56,53,50
Ft. Zumwalt East,1.21,1.18,2.39,47,56,51
Parkway Central,0.46,1.89,2.35,70,36,52
Southern Boone,0.58,1.71,2.29,67,43,53
Staley,0.49,1.79,2.27,68,40,54
Whitfield,1.38,0.84,2.22,40,68,55
Troy Buchanan,0.58,1.55,2.13,66,48,56
North Kansas City,1.42,0.58,2.0,38,78,57
Perryville,1.1,0.86,1.96,53,66,58
Northwest (Cedar Hill),0.99,0.87,1.86,59,65,59
