School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Ft. Zumwalt South,3.23,2.73,5.96,1,2,1
Rockwood Summit,1.69,2.98,4.67,4,1,2
Notre Dame (Cape Girardeau),2.47,1.95,4.43,2,8,3
Ladue Horton Watkins,1.42,2.58,4.0,10,3,4
Van Horn,1.56,2.36,3.92,6,4,5
Pembroke Hill,1.56,2.09,3.65,7,5,6
Guadalupe Centers Charter,1.69,1.96,3.65,3,7,7
St. Michael the Archangel,1.45,1.99,3.44,9,6,8
Mehlville,1.51,1.42,2.93,8,12,9
Clayton,1.24,1.5,2.74,12,10,10
Webster Groves,1.23,1.48,2.71,13,11,11
Raytown South,1.61,0.99,2.6,5,16,12
Ft. Zumwalt East,1.21,1.18,2.39,14,14,13
Parkway Central,0.46,1.89,2.35,21,9,14
East (Kansas City),0.78,1.05,1.84,19,15,15
Harrisonville,0.94,0.7,1.64,16,23,16
Glendale,0.82,0.81,1.63,18,21,17
Parkway West,0.44,0.95,1.39,23,17,18
Belton,0.21,0.84,1.06,25,18,19
Platte County,0.47,0.57,1.04,20,26,20
Parkway North,0.45,0.6,1.04,22,25,21
St. Charles,0.2,0.83,1.03,26,19,22
Lincoln College Prep,1.35,-0.39,0.96,11,37,23
Lutheran South,0.17,0.52,0.68,27,27,24
Smithville,-0.74,1.31,0.57,36,13,25
William Chrisman,-0.05,0.6,0.56,28,24,26
St. Francis Borgia,1.09,-0.54,0.55,15,39,27
Grain Valley,0.36,0.07,0.43,24,29,28
Kearney,-0.4,0.72,0.32,30,22,29
Branson,0.83,-0.58,0.25,17,40,30
Springfield Catholic,-0.67,0.83,0.15,34,20,31
Hannibal,-0.11,-0.16,-0.27,29,32,32
Farmington,-0.78,0.2,-0.58,37,28,33
North County,-0.45,-0.23,-0.68,31,34,34
Union,-0.8,-0.34,-1.14,38,36,35
Lebanon,-0.49,-0.8,-1.29,33,42,36
Sacred Heart,-1.15,-0.19,-1.34,44,33,37
Pacific,-0.45,-0.97,-1.42,32,46,38
Central (Cape Girardeau),-1.28,-0.16,-1.44,47,31,39
West Plains,-1.21,-0.33,-1.54,46,35,40
Bolivar,-1.12,-0.52,-1.64,43,38,41
Marshall,-1.09,-0.79,-1.87,42,41,42
Hillsboro,-1.05,-0.87,-1.92,41,43,43
Grandview,-1.87,-0.14,-2.01,56,30,44
Willard,-0.69,-1.33,-2.02,35,51,45
St. Paul Lutheran (Concordia),-1.4,-0.94,-2.34,48,44,46
Principia,-1.4,-0.97,-2.37,49,45,47
Ruskin,-0.98,-1.65,-2.63,39,54,48
Sikeston,-1.03,-1.64,-2.67,40,53,49
Festus,-1.81,-1.04,-2.85,54,47,50
Webb City,-1.78,-1.07,-2.85,53,49,51
Rolla,-1.86,-1.15,-3.01,55,50,52
Windsor (Imperial),-1.73,-1.44,-3.17,52,52,53
Parkview,-1.41,-1.77,-3.18,50,55,54
Winnetonka,-1.56,-1.78,-3.34,51,56,55
Marshfield,-2.69,-1.07,-3.76,61,48,56
DeSoto,-1.2,-2.75,-3.95,45,60,57
Camdenton,-2.58,-1.88,-4.47,59,57,58
McDonald County,-2.65,-2.19,-4.84,60,58,59
Carl Junction,-2.51,-2.36,-4.88,58,59,60
Warrensburg,-2.44,-2.79,-5.23,57,61,61
Warrenton,-3.28,-2.9,-6.19,62,62,62
