Date,Home Team,Home Score,Away Team,Away Score
2020-08-22,Sacred Heart,6,Knob Noster,0
2020-08-22,Lone Jack,1,Knob Noster,0
2020-08-28,Winfield,4,Canton,6
2020-08-28,Marshfield,1,Carl Junction,0
2020-08-28,Springfield Catholic,1,Central (Springfield),0
2020-08-28,Lebanon,8,Dixon,2
2020-08-28,Timberland,0,Ft. Zumwalt South,3
2020-08-28,Pembroke Hill,2,Lee's Summit West,1
2020-08-28,Fair Grove,2,Logan-Rogersville,8
2020-08-28,Pleasant Hill,5,Lone Jack,2
2020-08-28,Savannah,2,Osage,0
2020-08-28,Glendale,1,Ozark,2
2020-08-28,Rockhurst,2,Park Hill South,1
2020-08-28,Green Ridge,0,St. Paul Lutheran (Concordia),2
2020-08-28,West Plains,2,Webb City,0
2020-08-28,Cristo Rey,0,Van Horn,8
2020-08-28,Sacred Heart,2,Willard,5
2020-08-29,Fulton,3,Battle,2
2020-08-29,St. Michael the Archangel,1,Blue Springs South,2
2020-08-29,Dixon,1,Carl Junction,4
2020-08-29,Fox,1,Farmington,3
2020-08-29,Lutheran St. Charles,0,Ft. Zumwalt North,0
2020-08-29,St. Charles,0,Ft. Zumwalt North,2
2020-08-29,St. Charles,0,Ft. Zumwalt West,3
2020-08-29,Liberty North,5,Grain Valley,2
2020-08-29,Staley,3,Lee's Summit North,2
2020-08-29,Lebanon,1,Logan-Rogersville,3
2020-08-29,West Plains,0,Logan-Rogersville,2
2020-08-29,Fair Grove,2,Logan-Rogersville,8
2020-08-29,Cristo Rey,2,Lone Jack,5
2020-08-29,Lebanon,4,Marshfield,1
2020-08-29,St. Paul Lutheran (Concordia),4,Missouri Military Academy,3
2020-08-29,Van Horn,3,North Kansas City,1
2020-08-29,Sacred Heart,1,Osage,4
2020-08-29,Jefferson City,3,Ozark,0
2020-08-29,Cristo Rey,2,Pleasant Hill,10
2020-08-29,St. Charles,1,Raytown South,3
2020-08-29,Nixa,0,Rock Bridge,1
2020-08-29,Willard,5,Savannah,4
2020-08-29,Capital City,0,Southern Boone,6
2020-08-29,Fair Grove,0,Webb City,0
2020-08-31,Benton,3,Bishop LeBlond,4
2020-08-31,St. Charles,4,Blue Springs South,0
2020-08-31,Maryville,13,Cameron,0
2020-08-31,Lafayette (St. Joseph),0,Central (St. Joseph),6
2020-08-31,Willard,0,Fatima,8
2020-08-31,Belton,0,Guadalupe Centers Charter,3
2020-08-31,East (Kansas City),1,Harrisonville,1
2020-08-31,Seckman,1,North County,1
2020-08-31,St. Michael the Archangel,3,North Kansas City,0
2020-08-31,Northwest (Cedar Hill),3,Union,0
2020-09-01,Cassville,0,Aurora,8
2020-09-01,Raytown South,0,Blue Springs,3
2020-09-01,Van Horn,4,Blue Springs South,2
2020-09-01,Carthage,2,Branson,1
2020-09-01,Marshfield,0,Camdenton,1
2020-09-01,The Fulton School,5,Canton,7
2020-09-01,Joplin,5,Carl Junction,1
2020-09-01,Kickapoo,1,Cassville,2
2020-09-01,Bishop LeBlond,1,Central (St. Joseph),0
2020-09-01,Cameron,0,Chillicothe,8
2020-09-01,Boonville,0,Clinton,4
2020-09-01,St. Pius X (Festus),5,DeSoto,1
2020-09-01,Liberty North,6,East (Kansas City),1
2020-09-01,St. Dominic,7,Father Tolton,1
2020-09-01,Pacific,2,Fox,3
2020-09-01,Lutheran St. Charles,1,Francis Howell Central,7
2020-09-01,Timberland,1,Francis Howell North,0
2020-09-01,Ft. Zumwalt South,7,Ft. Zumwalt East,0
2020-09-01,Fatima,4,Fulton,6
2020-09-01,Grain Valley,1,Harrisonville,0
2020-09-01,Richland,1,Iberia,7
2020-09-01,Capital City,1,Jefferson City,7
2020-09-01,Cole Camp,4,Knob Noster,1
2020-09-01,Benton,2,Lafayette (St. Joseph),1
2020-09-01,Crocker,1,Lebanon,9
2020-09-01,Staley,0,Liberty,5
2020-09-01,Central (Springfield),0,Logan-Rogersville,2
2020-09-01,Hillsboro,2,Northwest (Cedar Hill),6
2020-09-01,Cristo Rey,4,Oak Grove,5
2020-09-01,Southern Boone,2,Osage,1
2020-09-01,Republic,0,Ozark,1
2020-09-01,Kearney,1,Park Hill,3
2020-09-01,Guadalupe Centers Charter,3,Pleasant Hill,0
2020-09-01,Oak Park,8,Raytown,0
2020-09-01,Raymore-Peculiar,0,Rockhurst,2
2020-09-01,Grandview,0,Ruskin,1
2020-09-01,Helias Catholic,1,Savannah,2
2020-09-01,Belton,1,Smithville,0
2020-09-01,Veritas Christian Academy,0,St. Charles,3
2020-09-01,Francis Howell,7,St. Charles West,0
2020-09-01,Summit Christian Academy,0,St. Paul Lutheran (Concordia),1
2020-09-01,Center,3,St. Pius X (Kansas City),2
2020-09-01,Washington,3,Webb City,0
2020-09-01,St. Paul Lutheran (Concordia),4,Warrensburg,1
2020-09-01,Missouri Military Academy,3,Warrenton,0
2020-09-01,Willard,3,Webb City,2
2020-09-01,Greenwood,2,West Plains,4
2020-09-01,Odessa,1,William Chrisman,6
2020-09-01,Excelsior Springs,4,Winnetonka,3
2020-09-01,Winfield,3,Wright City,2
2020-09-02,Seckman,3,Fox,1
2020-09-02,St. Clair,1,Fredericktown,4
2020-09-02,Republic,0,Glendale,4
2020-09-02,Liberty,2,Lee's Summit North,3
2020-09-02,Excelsior Springs,2,Lincoln College Prep,10
2020-09-02,Pacific,2,North County,2
2020-09-02,Fort Osage,7,Ruskin,1
2020-09-02,Summit Christian Academy,0,St. Paul Lutheran (Concordia),1
2020-09-02,St. Michael the Archangel,6,St. Charles,1
2020-09-02,Wright City,2,Union,3
2020-09-02,Summit Christian Academy,4,Warrensburg,0
2020-09-02,Grandview,1,Winnetonka,0
2020-09-03,Van Horn,2,Blue Springs,0
2020-09-03,Raytown South,4,Blue Springs South,2
2020-09-03,Greenwood,4,Bolivar,1
2020-09-03,Southern Boone,3,Boonville,0
2020-09-03,Springfield Catholic,1,Branson,2
2020-09-03,Winnetonka,8,Cameron,0
2020-09-03,Battle,1,Capital City,4
2020-09-03,Parkview,2,Carl Junction,3
2020-09-03,McDonald County,3,Cassville,1
2020-09-03,Cristo Rey,1,Center,4
2020-09-03,Notre Dame (Cape Girardeau),0,Central (Cape Girardeau),5
2020-09-03,Benton,1,Central (St. Joseph),2
2020-09-03,Camdenton,2,Fatima,1
2020-09-03,Sikeston,6,Fredericktown,0
2020-09-03,Washington,3,Ft. Zumwalt East,5
2020-09-03,Francis Howell Central,3,Ft. Zumwalt North,1
2020-09-03,Francis Howell,0,Ft. Zumwalt South,4
